city,city_gdp,city_population,country,emission,emission_target,target,baseline_year,year,year_status,factors,sector
City of Lagos,1366000000000.0,21000000.0,Nigeria,,,,,2016,Other,,
City of Peterborough,,78698.0,Canada,,,,,2016,,,
Distrito Metropolitano de Quito,15100000000.0,2239191.0,Ecuador,,,,,2016,Decreased,,
Nelson Mandela Bay ,52147.0,1152115.0,South Africa,12232310.0,,,,2017,Increased,,
"Denton, TX",,131044.0,USA,1604007.0,,,,2017,Decreased,,
Savannah,15905000000.0,145674.0,USA,3609546.0,,,,2017,This is our first year of calculation,,
Brownsville,8631000000.0,183887.0,USA,2165653.0,,,,2017,Other: Change in boundary,,
Salvador,4745.0,2902927.0,Brazil,3661647.0,,,,2017,,,
Houston,503300000000.0,2296224.0,USA,33428301.0,,,,2017,Stayed the same,,
Amman ,11202000000.0,3705490.0,Jordan,7215407.0,,,,2017,This is our first year of calculation,,
Indianapolis,125000000000.0,853000.0,USA,2160365.0,,,,2017,This is our first year of calculation,,
Ho Chi Minh,,8244400.0,Vietnam,30012000.0,,,,2017,This is our first year of calculation,,
"Portland, ME",,66666.0,USA,1142797.0,,,,2017,,,
Chihuahua,2.0,841490.0,Mexico,14330261.0,,,,2017,This is our first year of calculation,,
Phoenix,197193000000.0,1537058.0,USA,15895005.0,,,,2017,This is our first year of calculation,,
Hobart,,50655.0,Australia,338925.0,,,,2017,Decreased,,
Addis Ababa,,3800000.0,Ethiopia,5043860.0,,,,2017,This is our first year of calculation,,
Reno,22043000000.0,236995.0,USA,2730235.35,,,,2017,This is our first year of calculation,,
Mexico City,2255223000000.0,8874724.0,Mexico,30870170.39,,,,2017,Increased,,
Niterói,19908.0,497883.0,Brazil,1729602.0,,,,2017,Other:,,
Santiago,71856593000000.0,6527903.0,Chile,28406420.0,,,,2017,Decreased,,
Tulua,,209086.0,Colombia,208681.0,,,,2017,,,
Istanbul ,622762000000.0,14804116.0,Turkey,47862539.0,,,,2017,Increased,,
Santiago de Cali,4540.0,2369829.0,Colombia,4174608.0,,,,2017,,,
Pretoria - Tshwane,2739000000.0,3300000.0,South Africa,15236693.0,,,,2017,Increased,,
Cascais,,208122.0,Portugal,565382.0,,,,2017,Decreased,,
León de los Aldamas,218.0,1578626.0,Mexico,5012133.0,,,,2017,,,
"Easton, PA",1146500000.0,26915.0,USA,350900.0,,,,2017,This is our first year of calculation,,
Porto Velho,2363878.0,494013.0,Brazil,,,,,2017,,,
"Saint Paul, MN",21200000000.0,300353.0,USA,,,,,2017,This is our first year of calculation,,
Goiânia,30131330.0,1301892.0,Brazil,2016320.0,,,,2017,,,
